numero_partido,votos_legenda,nome_partido,sigla_partido
25,12,Democratas,DEM
11,123,PROGRESSISTAS,PP
90,93,Partido Republicano da Ordem Social,PROS
40,26,Partido Socialista Brasileiro,PSB
45,18,Partido da Social Democracia Brasileira,PSDB
10,18,REPUBLICANOS,REPUBLICANOS
