numero_partido,votos_legenda,nome_partido,sigla_partido
25,32,Democratas,DEM
11,17,PROGRESSISTAS,PP
12,133,Partido Democrático Trabalhista,PDT
55,9,Partido Social Democrático,PSD
40,25,Partido Socialista Brasileiro,PSB
13,14,Partido dos Trabalhadores,PT
10,126,REPUBLICANOS,REPUBLICANOS
