numero_partido,votos_legenda,nome_partido,sigla_partido
23,33,Cidadania,CIDADANIA
11,338,PROGRESSISTAS,PP
12,110,Partido Democrático Trabalhista,PDT
20,5,Partido Social Cristão,PSC
17,4,Partido Social Liberal,PSL
40,20,Partido Socialista Brasileiro,PSB
45,73,Partido da Social Democracia Brasileira,PSDB
36,7,Partido Trabalhista Cristão,PTC
51,9,Patriota,PATRIOTA
10,376,REPUBLICANOS,REPUBLICANOS
13,37,Partido dos Trabalhadores,PT
