numero_partido,votos_legenda,nome_partido,sigla_partido
23,186,Cidadania,CIDADANIA
25,17,Democratas,DEM
12,28,Partido Democrático Trabalhista,PDT
55,15,Partido Social Democrático,PSD
40,85,Partido Socialista Brasileiro,PSB
43,5,Partido Verde,PV
13,10,Partido dos Trabalhadores,PT
10,17,REPUBLICANOS,REPUBLICANOS
