numero_partido,votos_legenda,nome_partido,sigla_partido
23,48,Cidadania,CIDADANIA
25,120,Democratas,DEM
11,8,PROGRESSISTAS,PP
90,5,Partido Republicano da Ordem Social,PROS
22,17,Partido Liberal,PL
40,12,Partido Socialista Brasileiro,PSB
55,7,Partido Social Democrático,PSD
17,2,Partido Social Liberal,PSL
33,76,Partido da Mobilização Nacional,PMN
45,10,Partido da Social Democracia Brasileira,PSDB
10,45,REPUBLICANOS,REPUBLICANOS
