numero_partido,votos_legenda,nome_partido,sigla_partido
23,201,Cidadania,CIDADANIA
25,12,Democratas,DEM
11,150,PROGRESSISTAS,PP
22,81,Partido Liberal,PL
17,5,Partido Social Liberal,PSL
40,21,Partido Socialista Brasileiro,PSB
43,12,Partido Verde,PV
45,33,Partido da Social Democracia Brasileira,PSDB
77,7,Solidariedade,SOLIDARIEDADE
10,161,REPUBLICANOS,REPUBLICANOS
