numero_partido,votos_legenda,nome_partido,sigla_partido
23,32,Cidadania,CIDADANIA
12,48,Partido Democrático Trabalhista,PDT
55,17,Partido Social Democrático,PSD
40,193,Partido Socialista Brasileiro,PSB
45,30,Partido da Social Democracia Brasileira,PSDB
19,153,Podemos,PODE
51,9,Patriota,PATRIOTA
10,22,REPUBLICANOS,REPUBLICANOS
